close,high,low,open,volume,baseVolume,datetime
9237.92,9242.88,9234.21,9240.5,71.65,661953.81,2020-07-02 12:47:00
9240.85,9242.75,9237.92,9237.92,20.38,188305.62,2020-07-02 12:48:00
9237.63,9240.92,9234.8,9240.85,36.92,341107.85,2020-07-02 12:49:00
9235.51,9237.63,9233.06,9237.63,19.57,180676.17,2020-07-02 12:50:00
9240.15,9241.05,9235.51,9235.51,22.46,207456.97,2020-07-02 12:51:00
9238.39,9240.92,9236.14,9240.15,20.6,190329.23,2020-07-02 12:52:00
9238.81,9240.02,9234.99,9238.39,52.38,483911.24,2020-07-02 12:53:00
9241.67,9242.68,9238.43,9238.81,25.69,237342.43,2020-07-02 12:54:00
9242.13,9242.13,9238.35,9241.67,34.73,320906.04,2020-07-02 12:55:00
9241.62,9243.98,9240.48,9242.13,28.19,260501.2,2020-07-02 12:56:00
9242.18,9243.71,9241.22,9241.62,21.37,197529.86,2020-07-02 12:57:00
9241.23,9242.99,9240.0,9242.18,30.75,284125.2,2020-07-02 12:58:00
9242.58,9242.85,9238.59,9241.23,46.17,426618.27,2020-07-02 12:59:00
9242.67,9243.91,9240.58,9242.58,69.07,638371.21,2020-07-02 13:00:00
9239.03,9242.99,9234.08,9242.67,93.16,860649.48,2020-07-02 13:01:00
9233.82,9239.05,9231.15,9239.03,95.74,884039.16,2020-07-02 13:02:00
9234.51,9235.0,9230.45,9233.82,52.23,482207.59,2020-07-02 13:03:00
9234.76,9237.99,9233.69,9234.51,23.32,215357.4,2020-07-02 13:04:00
9232.76,9236.11,9231.72,9234.76,27.46,253590.94,2020-07-02 13:05:00
9230.01,9232.76,9230.0,9232.76,17.57,162202.57,2020-07-02 13:06:00
9231.41,9232.12,9228.03,9230.01,37.94,350163.96,2020-07-02 13:07:00
9229.99,9231.42,9223.19,9231.41,86.04,793975.35,2020-07-02 13:08:00
9229.9,9230.77,9228.56,9229.99,26.83,247611.11,2020-07-02 13:09:00
9231.06,9232.0,9228.32,9229.9,41.11,379486.4,2020-07-02 13:10:00
9227.17,9231.14,9226.24,9231.06,24.37,224957.01,2020-07-02 13:11:00
9229.68,9230.09,9227.17,9227.17,32.61,300924.37,2020-07-02 13:12:00
9224.99,9229.68,9222.06,9229.68,54.38,501691.47,2020-07-02 13:13:00
9226.2,9228.89,9224.99,9224.99,28.81,265853.44,2020-07-02 13:14:00
9229.15,9229.56,9226.2,9226.2,9.064,83634.83,2020-07-02 13:15:00
9227.86,9229.55,9227.66,9229.15,12.02,110884.37,2020-07-02 13:16:00
9228.16,9229.08,9226.92,9227.86,17.76,163895.04,2020-07-02 13:17:00
9234.08,9235.0,9227.45,9228.16,27.77,256344.14,2020-07-02 13:18:00
9233.06,9234.99,9229.65,9234.08,18.99,175332.0,2020-07-02 13:19:00
9237.66,9237.83,9232.71,9233.06,24.0,221652.98,2020-07-02 13:20:00
9242.01,9243.0,9236.12,9237.66,68.96,637284.44,2020-07-02 13:21:00
9239.99,9242.52,9237.57,9242.01,57.71,533271.14,2020-07-02 13:22:00
9238.1,9239.99,9237.17,9239.99,20.76,191812.91,2020-07-02 13:23:00
9242.98,9242.99,9237.7,9238.1,25.33,234069.17,2020-07-02 13:24:00
9239.07,9242.98,9238.03,9242.98,31.37,289845.27,2020-07-02 13:25:00
9241.22,9241.78,9238.35,9239.07,29.54,272943.94,2020-07-02 13:26:00
9241.56,9242.52,9239.91,9241.22,23.14,213802.52,2020-07-02 13:27:00
